name,model_year,weight_power_ratio
"buick estate wagon (sw)",70,13.7156
"pontiac grand prix",73,18.6000
"pontiac catalina",70,19.6667
"bmw 2002",70,19.7699
"chevrolet impala",70,19.7909
"plymouth fury iii",70,20.0558
"amc ambassador dpl",70,20.2632
"oldsmobile omega",73,20.3556
"dodge d200",70,20.8667
"buick regal sport coupe (turbo)",78,20.8788
"dodge challenger se",70,20.9588
"ford f250",70,21.4651
"amc ambassador brougham",73,21.8343
"chevrolet c20",70,21.8800
"ford galaxie 500",70,21.9242
"buick electra 225 custom",73,22.0044
"chrysler new yorker brougham",73,22.0233
"datsun 280-zx",80,22.0455
"mercury marquis",72,22.2740
"buick skylark 320",70,22.3818
"plymouth 'cuda 340",70,22.5563
"chevrolet citation",79,22.5652
"dodge dart custom",73,22.6600
"chrysler cordoba",77,22.7632
"amc rebel sst",70,22.8867
"plymouth satellite",70,22.9067
"toyota mark ii",73,23.0082
"ford futura",78,23.0576
"mercury capri v6",73,23.1028
"saab 99le",75,23.2261
"chrysler newport royal",72,23.2737
"datsun 1200",71,23.3768
"buick century 350",73,23.4286
"pontiac grand prix lj",77,23.4444
"toyota corona",71,23.4526
"oldsmobile omega brougham",79,23.4783
"opel 1900",71,23.5889
"mazda rx3",73,23.6000
"chevrolet monte carlo landau",78,23.6207
"bmw 320i",77,23.6364
"datsun 510",78,23.7113
"toyota corolla 1600 (sw)",72,23.8636
"dodge colt hatchback custom",79,23.9375
"plymouth arrow gs",77,23.9583
"toyota corona hardtop",72,23.9789
"mazda rx2 coupe",72,24.0206
"saab 99le",73,24.1818
"mazda rx-7 gs",80,24.2000
"datsun pl510",70,24.2045
"datsun pl510",71,24.2045
"saab 99gle",78,24.3043
"cadillac seville",76,24.3333
"datsun 810 maxima",81,24.4167
"amc ambassador sst",72,24.4800
"amc matador",73,24.4800
"chevrolet monte carlo landau",77,24.5000
"hi 1200d",70,24.5181
"nissan stanza xe",82,24.5455
"ford mustang ii",75,24.5659
"ford torino",70,24.6357
"mazda rx-4",77,24.7273
"chevrolet citation",81,24.7727
"datsun 200-sx",78,24.7938
"datsun 510 (sw)",72,24.8696
"volkswagen rabbit custom",77,24.8718
"toyota corona mark ii",70,24.9684
"oldsmobile vista cruiser",73,24.9944
"saab 99e",70,25.0000
"dodge colt m/m",77,25.0000
"toyota cressida",81,25.0000
"mercury marquis brougham",73,25.0101
"dodge d100",76,25.0333
"pontiac catalina",72,25.0571
"chevrolet monte carlo",70,25.0733
"volvo 264gl",78,25.1200
"chevrolet vega 2300",71,25.1556
"fiat 124 sport coupe",73,25.1667
"dodge coronet custom",73,25.1800
"datsun 610",73,25.3085
"ford granada l",82,25.3125
"pontiac catalina brougham",71,25.5086
"chevrolet impala",71,25.5091
"volvo 144ea",73,25.6071
"peugeot 604sl",78,25.6391
"honda civic",74,25.6598
"mercury monarch ghia",78,25.6835
"volkswagen rabbit",76,25.7042
subaru,74,25.7097
"mercury capri 2000",71,25.8140
"toyota corona mark ii(sw)",72,25.8351
"ford pinto runabout",72,25.8837
"toyota carina",73,25.8977
"chevrolet impala",72,25.9030
"amc matador (sw)",72,25.9467
"plymouth sapporo",78,26.1429
"datsun 200sx",81,26.1500
"volvo 145e (sw)",72,26.1875
"datsun 710",75,26.2371
"plymouth volare premier v8",76,26.2667
"chrysler lebaron town @ country (sw)",79,26.2667
"amc gremlin",71,26.3400
"datsun 510 hatchback",80,26.4565
"toyota celica gt liftback",78,26.4737
