"Million Plus Cities","Total Accidents"
Chennai,26334
Delhi,25068
Bengaluru,19398
Jabalpur,19356
Indore,18216
Bhopal,13770
Hyderabad,12384
Jaipur,11640
Mumbai,10872
Gwalior,10794
Mallapuram,10704
Raipur,10596
Vizaq,10590
Kolkata,10098
Thrissur,8784
Kochi,8622
Kollam,8466
Kanpur,7344
Thiruvanthapuram,7284
Ahmedabad,7110
Allahabad(Prayagraj),6912
"Vijaywada city",6432
Khozikode,6018
Lucknow,5676
Agra,5436
Nagpur,4638
Meerut,4350
Ghaziabad,4248
Coimbatore,4242
Surat,3450
Madurai,3180
Kannur,3024
Faridabad,2934
Pune,2892
Vadodra,2886
Varanasi,2670
Rajkot,2592
"Asansol Durgapur",2568
Ludhiana,2508
Nashik,2496
Aurangabad,2436
Tiruchirapalli,2388
Patna,2238
Kota,2118
Jodhpur,1752
Srinagar,1650
Dhanbad,984
Chandigarh,954
Jamshedpur,714
Amritsar,600
